week,state,update_dts,percent_positive,total_pcr_tests,antigen_detections,pcr_detections,epi_week,epi_year
2020-12-19,AL,2022-10-25,0,92,1.6,0,51,2020
2020-12-19,AR,2022-10-25,0,84.667,0,0,51,2020
2020-12-19,AZ,2022-10-25,0,162.667,0,0,51,2020
2020-12-19,CA,2022-10-25,0,1778,0,0,51,2020
2020-12-19,CO,2022-10-25,0.035,1703.667,0,0.4,51,2020
2020-12-19,CT,2022-10-25,0,276.333,0,0.2,51,2020
2020-12-19,DE,2022-10-25,0,0,0,0,51,2020
2020-12-19,GA,2022-10-25,1.342,1073.333,0.6,10,51,2020
2020-12-19,HI,2022-10-25,0,24.667,0,0,51,2020
2020-12-19,IA,2022-10-25,0,466.667,0,0,51,2020
2020-12-19,ID,2022-10-25,0,90.667,0.2,0,51,2020
2020-12-19,IL,2022-10-25,0,39.667,0,0,51,2020
2020-12-19,IN,2022-10-25,0,420.333,0,0,51,2020
2020-12-19,KS,2022-10-25,0,148.333,0,0,51,2020
2020-12-19,KY,2022-10-25,0,710,0,0,51,2020
2020-12-19,LA,2022-10-25,0,89.333,0.2,0,51,2020
2020-12-19,MA,2022-10-25,0.155,630.333,0,1.2,51,2020
2020-12-19,MD,2022-10-25,0,276.667,0,0,51,2020
2020-12-19,ME,2022-10-25,0,0,0,0,51,2020
2020-12-19,MI,2022-10-25,0.029,984,0,0.2,51,2020
2020-12-19,MN,2022-10-25,0.406,327,0,1.2,51,2020
2020-12-19,MO,2022-10-25,0,659,0,0,51,2020
2020-12-19,MS,2022-10-25,0,0,0,0,51,2020
2020-12-19,MT,2022-10-25,0,76.667,0,0,51,2020
2020-12-19,NC,2022-10-25,0,66,0,0,51,2020
2020-12-19,ND,2022-10-25,0,1.333,0,0,51,2020
2020-12-19,NE,2022-10-25,0.327,182.333,0,0.4,51,2020
2020-12-19,NH,2022-10-25,0,0,0,0,51,2020
2020-12-19,NJ,2022-10-25,0.082,900.333,0,0.4,51,2020
2020-12-19,NM,2022-10-25,0,141,0,0.4,51,2020
2020-12-19,NV,2022-10-25,0,18.667,0,0,51,2020
2020-12-19,NY,2022-10-25,0.061,2312.667,0,1.2,51,2020
